127.0.0.1 - - [08/May/2023:21:05:49 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/May/2023:21:05:50 +0800] "GET /atcrowdfunding02-admin-webui/WEB-INF/admin-edit.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [08/May/2023:21:06:29 +0800] "GET /atcrowdfunding02-admin-webui/admin/get/page.html?pageNum=10&keyword=3 HTTP/1.1" 200 1950
0:0:0:0:0:0:0:1 - - [08/May/2023:21:06:29 +0800] "GET /atcrowdfunding02-admin-webui/jquery/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [08/May/2023:21:06:29 +0800] "GET /atcrowdfunding02-admin-webui/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:21:06:29 +0800] "GET /atcrowdfunding02-admin-webui/css/font-awesome.min.css HTTP/1.1" 200 21963
0:0:0:0:0:0:0:1 - - [08/May/2023:21:06:29 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [08/May/2023:21:06:29 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [08/May/2023:21:06:30 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:21:06:30 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23424
0:0:0:0:0:0:0:1 - - [08/May/2023:21:06:45 +0800] "POST /atcrowdfunding02-admin-webui/admin/do/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2023:21:06:45 +0800] "GET /atcrowdfunding02-admin-webui/admin/to/main/page.html HTTP/1.1" 200 6913
0:0:0:0:0:0:0:1 - - [08/May/2023:21:06:45 +0800] "GET /atcrowdfunding02-admin-webui/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:21:06:45 +0800] "GET /atcrowdfunding02-admin-webui/layer/layer.js HTTP/1.1" 200 22116
0:0:0:0:0:0:0:1 - - [08/May/2023:21:06:45 +0800] "GET /atcrowdfunding02-admin-webui/script/docs.min.js HTTP/1.1" 200 43107
0:0:0:0:0:0:0:1 - - [08/May/2023:21:06:45 +0800] "GET /atcrowdfunding02-admin-webui/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:21:06:45 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [08/May/2023:21:06:47 +0800] "GET /atcrowdfunding02-admin-webui/admin/get/page.html HTTP/1.1" 200 14239
0:0:0:0:0:0:0:1 - - [08/May/2023:21:06:47 +0800] "GET /atcrowdfunding02-admin-webui/css/pagination.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:21:06:47 +0800] "GET /atcrowdfunding02-admin-webui/jquery/jquery.pagination.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:21:06:50 +0800] "GET /atcrowdfunding02-admin-webui/admin/to/edit/page.html?adminId=7&pageNum=1&keyword= HTTP/1.1" 200 7856
0:0:0:0:0:0:0:1 - - [08/May/2023:21:07:05 +0800] "POST /atcrowdfunding02-admin-webui/admin/update.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2023:21:07:05 +0800] "GET /atcrowdfunding02-admin-webui/admin/get/page.html?pageNum=1&keyword= HTTP/1.1" 200 14251
