127.0.0.1 - - [22/Jun/2023:16:00:00 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:03:20 +0800] "GET /atcrowdfunding02-admin-webui/jquery/jquery.pagination.js HTTP/1.1" 200 5061
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:03:20 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1687421000251 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:03:26 +0800] "GET /atcrowdfunding02-admin-webui/role/to/page.html HTTP/1.1" 200 17473
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:03:26 +0800] "GET /atcrowdfunding02-admin-webui/crowd/my-role.js HTTP/1.1" 200 4811
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:03:26 +0800] "POST /atcrowdfunding02-admin-webui/role/get/page/info.json HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:03:26 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1687421006712 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:10 +0800] "GET /atcrowdfunding02-admin-webui/role/to/page.html HTTP/1.1" 200 1950
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:10 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:10 +0800] "GET /atcrowdfunding02-admin-webui/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:10 +0800] "GET /atcrowdfunding02-admin-webui/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:10 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:10 +0800] "GET /atcrowdfunding02-admin-webui/jquery/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:11 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:11 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:18 +0800] "POST /atcrowdfunding02-admin-webui/admin/do/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:18 +0800] "GET /atcrowdfunding02-admin-webui/admin/to/main/page.html HTTP/1.1" 200 6923
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:18 +0800] "GET /atcrowdfunding02-admin-webui/css/main.css HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:18 +0800] "GET /atcrowdfunding02-admin-webui/script/docs.min.js HTTP/1.1" 200 43107
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:18 +0800] "GET /atcrowdfunding02-admin-webui/layer/layer.js HTTP/1.1" 200 22116
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:18 +0800] "GET /atcrowdfunding02-admin-webui/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 200 14367
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:21 +0800] "GET /atcrowdfunding02-admin-webui/admin/get/page.html HTTP/1.1" 500 9032
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:21 +0800] "GET /atcrowdfunding02-admin-webui/css/pagination.css HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:21 +0800] "GET /atcrowdfunding02-admin-webui/jquery/jquery.pagination.js HTTP/1.1" 200 5061
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:22 +0800] "GET /atcrowdfunding02-admin-webui/role/to/page.html HTTP/1.1" 200 17473
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:22 +0800] "GET /atcrowdfunding02-admin-webui/crowd/my-role.js HTTP/1.1" 200 4811
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:22 +0800] "POST /atcrowdfunding02-admin-webui/role/get/page/info.json HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:10:21 +0800] "GET /atcrowdfunding02-admin-webui/assign/to/assign/role/page.html HTTP/1.1" 200 1828
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:34:27 +0800] "GET /atcrowdfunding02-admin-webui/role/to/page.html HTTP/1.1" 200 17473
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:34:28 +0800] "POST /atcrowdfunding02-admin-webui/role/get/page/info.json HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:40:38 +0800] "GET /atcrowdfunding02-admin-webui/admin/get/page.html HTTP/1.1" 500 9032
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:40:50 +0800] "GET /atcrowdfunding02-admin-webui/admin/get/page.html HTTP/1.1" 500 9032
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:40:52 +0800] "GET /atcrowdfunding02-admin-webui/menu/to/page.html HTTP/1.1" 200 19493
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:40:52 +0800] "GET /atcrowdfunding02-admin-webui/crowd/my-menu.js HTTP/1.1" 200 4150
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:40:52 +0800] "GET /atcrowdfunding02-admin-webui/ztree/jquery.ztree.all-3.5.min.js HTTP/1.1" 200 61260
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:40:52 +0800] "GET /atcrowdfunding02-admin-webui/ztree/zTreeStyle.css HTTP/1.1" 200 6291
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:40:52 +0800] "POST /atcrowdfunding02-admin-webui/menu/get/whole/tree.json HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:40:53 +0800] "GET /atcrowdfunding02-admin-webui/ztree/img/line_conn.gif HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:40:53 +0800] "GET /atcrowdfunding02-admin-webui/ztree/img/zTreeStandard.png HTTP/1.1" 200 11173
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:40:54 +0800] "GET /atcrowdfunding02-admin-webui/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 83760
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:47:22 +0800] "GET /atcrowdfunding02-admin-webui/admin/get/page.html HTTP/1.1" 500 9032
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:47:30 +0800] "GET /atcrowdfunding02-admin-webui/role/to/page.html HTTP/1.1" 200 17473
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:47:30 +0800] "POST /atcrowdfunding02-admin-webui/role/get/page/info.json HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:49:04 +0800] "GET /atcrowdfunding02-admin-webui/role/to/page.html HTTP/1.1" 200 17473
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:49:04 +0800] "POST /atcrowdfunding02-admin-webui/role/get/page/info.json HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:49:17 +0800] "GET /atcrowdfunding02-admin-webui/role/to/page.html HTTP/1.1" 200 17473
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:49:17 +0800] "POST /atcrowdfunding02-admin-webui/role/get/page/info.json HTTP/1.1" 200 456
