127.0.0.1 - - [11/Jun/2023:13:50:40 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Jun/2023:13:50:42 +0800] "GET /atcrowdfunding02-admin-webui/index.jsp HTTP/1.1" 200 4126
0:0:0:0:0:0:0:1 - - [11/Jun/2023:13:50:42 +0800] "GET /atcrowdfunding02-admin-webui/layer/layer.js HTTP/1.1" 200 22116
0:0:0:0:0:0:0:1 - - [11/Jun/2023:13:50:42 +0800] "GET /atcrowdfunding02-admin-webui/jquery/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [11/Jun/2023:13:50:42 +0800] "GET /atcrowdfunding02-admin-webui/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 200 14367
0:0:0:0:0:0:0:1 - - [11/Jun/2023:13:51:49 +0800] "GET /atcrowdfunding02-admin-webui/admin/get/page.html?pageNum=10&keyword=3 HTTP/1.1" 200 1950
0:0:0:0:0:0:0:1 - - [11/Jun/2023:13:51:49 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [11/Jun/2023:13:51:49 +0800] "GET /atcrowdfunding02-admin-webui/css/font-awesome.min.css HTTP/1.1" 200 21963
0:0:0:0:0:0:0:1 - - [11/Jun/2023:13:51:49 +0800] "GET /atcrowdfunding02-admin-webui/css/login.css HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [11/Jun/2023:13:51:49 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [11/Jun/2023:13:51:49 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [11/Jun/2023:13:52:18 +0800] "POST /atcrowdfunding02-admin-webui/admin/do/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2023:13:52:18 +0800] "POST /atcrowdfunding02-admin-webui/admin/do/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2023:13:52:18 +0800] "GET /atcrowdfunding02-admin-webui/admin/to/main/page.html HTTP/1.1" 200 6914
0:0:0:0:0:0:0:1 - - [11/Jun/2023:13:52:18 +0800] "GET /atcrowdfunding02-admin-webui/css/main.css HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [11/Jun/2023:13:52:19 +0800] "GET /atcrowdfunding02-admin-webui/script/docs.min.js HTTP/1.1" 200 43107
0:0:0:0:0:0:0:1 - - [11/Jun/2023:13:52:19 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1686462739118 HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [11/Jun/2023:16:39:13 +0800] "GET /atcrowdfunding02-admin-webui/role/to/page.html HTTP/1.1" 200 1950
0:0:0:0:0:0:0:1 - - [11/Jun/2023:16:39:13 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [11/Jun/2023:16:39:13 +0800] "GET /atcrowdfunding02-admin-webui/jquery/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [11/Jun/2023:16:39:13 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [11/Jun/2023:16:39:13 +0800] "GET /atcrowdfunding02-admin-webui/css/login.css HTTP/1.1" 200 861
